faculty,baseline_annual_salary_rm,employment_rate,roi_group
Academy of Islamic Studies,36000,0.92,Low-Medium
Academy of Malay Studies,36000,0.92,Low-Medium
Faculty of Arts and Social Sciences,38000,0.93,Medium
Faculty of Built Environment,42000,0.94,Medium-High
Faculty of Business and Economics,45000,0.95,High
Faculty of Computer Science and Information Technology,48000,0.96,High
Faculty of Creative Arts,38000,0.93,Medium
Faculty of Dentistry,60000,0.98,Very-High
Faculty of Education,40000,0.94,Medium
Faculty of Engineering,48000,0.96,High
Faculty of Languages and Linguistics,38000,0.93,Medium
Faculty of Medicine,65000,0.98,Very-High
Faculty of Pharmacy,60000,0.98,Very-High
Faculty of Science,42000,0.94,Medium-High
Faculty of Sports and Exercise Science,40000,0.94,Medium
